TERM,MEANING
Pink-Orange,RGB #f96
Pink Pearl,RGB #e7accf
Pink Sherbet,RGB #f78fa7
Pistachio,RGB #93c572
Platinum,RGB #e5e4e2
Plum (Traditional),RGB #8e4585
Plum (Web),RGB #dda0dd
Portland Orange,RGB #ff5a36
Powder Blue (Web),RGB #b0e0e6
Princeton Orange,RGB #ff8f00
Prune,RGB #701c1c
Prussian Blue,RGB #003153
Psychedelic Purple,RGB #df00ff
Puce,RGB #c89
Pumpkin,RGB #ff7518
Purple Heart,RGB #69359c
Purple (Html/Css),RGB #800080
Purple Mountain Majesty,RGB #9678b6
Purple (Munsell),RGB #9f00c5
Purple Pizzazz,RGB #fe4eda
Purple Taupe,RGB #50404d
Purple (X11),RGB #a020f0
Quartz,RGB #51484f
Rackley,RGB #5d8aa8
Radical Red,RGB #ff355e
Rajah,RGB #fbab60
Raspberry,RGB #e30b5d
Raspberry Glace,RGB #915f6d
Raspberry Pink,RGB #e25098
Raspberry Rose,RGB #b3446c
Raw Umber,RGB #826644
Razzle Dazzle Rose,RGB #f3c
Razzmatazz,RGB #e3256b
Red,RGB #f00
Red-Brown,RGB #a52a2a
Red Devil,RGB #860111
Red (Munsell),RGB #f2003c
Red (Ncs),RGB #c40233
Red-Orange,RGB #ff5349
Red (Pigment),RGB #ed1c24
Red (Ryb),RGB #fe2712
Red-Violet,RGB #c71585
Redwood,RGB #ab4e52
Regalia,RGB #522d80
Resolution Blue,RGB #002387
Rich Black,RGB #004040
Rich Brilliant Lavender,RGB #f1a7fe
Rich Carmine,RGB #d70040
Rich Electric Blue,RGB #0892d0
Rich Lavender,RGB #a76bcf
Rich Lilac,RGB #b666d2
Rich Maroon,RGB #b03060
Rifle Green,RGB #414833
Robin Egg Blue,RGB #0cc
Rose,RGB #ff007f
Rose Bonbon,RGB #f9429e
Rose Ebony,RGB #674846
Rose Gold,RGB #b76e79
Rose Madder,RGB #e32636
Rose Pink,RGB #f6c
Rose Quartz,RGB #aa98a9
Rose Taupe,RGB #905d5d
Rose Vale,RGB #ab4e52
Rosewood,RGB #65000b
Rosso Corsa,RGB #d40000
Rosy Brown,RGB #bc8f8f
Royal Azure,RGB #0038a8
Royal Blue (Traditional),RGB #002366
Royal Blue (Web),RGB #4169e1
Royal Fuchsia,RGB #ca2c92
Royal Purple,RGB #7851a9
Royal Yellow,RGB #fada5e
Rubine Red,RGB #d10056
Ruby,RGB #e0115f
Ruby Red,RGB #9b111e
Ruddy,RGB #ff0028
Ruddy Brown,RGB #bb6528
Ruddy Pink,RGB #e18e96
Rufous,RGB #a81c07
Russet,RGB #80461b
Rust,RGB #b7410e
Rusty Red,RGB #da2c43
Sacramento State Green,RGB #00563f
Saddle Brown,RGB #8b4513
Safety Orange (Blaze Orange),RGB #ff6700
Saffron,RGB #f4c430
Salmon,RGB #ff8c69
Salmon Pink,RGB #ff91a4
Sand,RGB #c2b280
Sand Dune,RGB #967117
Sandstorm,RGB #ecd540
Sandy Brown,RGB #f4a460
Sandy Taupe,RGB #967117
Sangria,RGB #92000a
Sap Green,RGB #507d2a
Sapphire,RGB #0f52ba
Sapphire Blue,RGB #0067a5
Satin Sheen Gold,RGB #cba135
Scarlet,RGB #ff2400
Scarlet (Crayola),RGB #fd0e35
School Bus Yellow,RGB #ffd800
Screamin' Green,RGB #76ff7a
Sea Blue,RGB #006994
Sea Green,RGB #2e8b57
Seal Brown,RGB #321414
Seashell,RGB #fff5ee
Selective Yellow,RGB #ffba00
Sepia,RGB #704214
Shadow,RGB #8a795d
Shamrock Green,RGB #009e60
Shocking Pink,RGB #fc0fc0
Shocking Pink (Crayola),RGB #ff6fff
Sienna,RGB #882d17
Silver,RGB #c0c0c0
Sinopia,RGB #cb410b
Skobeloff,RGB #007474
Sky Blue,RGB #87ceeb
Sky Magenta,RGB #cf71af
Slate Blue,RGB #6a5acd
Slate Gray,RGB #708090
Smalt (Dark Powder Blue),RGB #039
Smokey Topaz,RGB #933d41
Smoky Black,RGB #100c08
Snow,RGB #fffafa
Spiro Disco Ball,RGB #0fc0fc
Spring Bud,RGB #a7fc00
Spring Green,RGB #00ff7f
St. Patrick'S Blue,RGB #23297a
Steel Blue,RGB #4682b4
Stil De Grain Yellow,RGB #fada5e
Stizza,RGB #900
Stormcloud,RGB #4f666a
Straw,RGB #e4d96f
Sunglow,RGB #fc3
Sunset,RGB #fad6a5
Tan,RGB #d2b48c
Tangelo,RGB #f94d00
Tangerine,RGB #f28500
Tangerine Yellow,RGB #fc0
Tango Pink,RGB #e4717a
Taupe,RGB #483c32
Taupe Gray,RGB #8b8589
Tea Green,RGB #d0f0c0
Tea Rose (Orange),RGB #f88379
Tea Rose (Rose),RGB #f4c2c2
Teal,RGB #008080
Teal Blue,RGB #367588
Teal Green,RGB #00827f
Telemagenta,RGB #cf3476
Tenné (Tawny),RGB #cd5700
Terra Cotta,RGB #e2725b
Thistle,RGB #d8bfd8
Thulian Pink,RGB #de6fa1
Tickle Me Pink,RGB #fc89ac
Tiffany Blue,RGB #0abab5
Tiger'S Eye,RGB #e08d3c
Timberwolf,RGB #dbd7d2
Titanium Yellow,RGB #eee600
Tomato,RGB #ff6347
Toolbox,RGB #746cc0
Topaz,RGB #ffc87c
Tractor Red,RGB #fd0e35
Trolley Grey,RGB #808080
Tropical Rain Forest,RGB #00755e
True Blue,RGB #0073cf
Tufts Blue,RGB #417dc1
Tumbleweed,RGB #deaa88
